Date,Category,Amount,Description
2026-09-03,Food,70.0,Sandwich
2026-09-03,Travel,100.0,Metro
2026-09-01,Food,250.0,Lunch at canteen
2026-09-01,Travel,120.0,Auto to college
2026-09-02,Groceries,450.0,Milk and snacks
2026-09-02,Entertainment,300.0,Movie ticket
2026-09-02,Food,150.0,Coffee and pastry
2026-09-03,Utilities,800.0,Mobile recharge
2026-09-03,Shopping,1299.0,T-shirt online
2026-09-03,Food,350.0,Dinner with friends
2026-09-04,Travel,90.0,Bus pass
2026-09-04,Food,180.0,Breakfast
2026-09-04,Education,500.0,Programming book
2026-09-04,Groceries,220.0,Fruits and vegetables
2026-09-03,Food,100.0,Pizza
